pro_id;pro_nama;dapil_id;dapil_kode;dapil_nama;URUTAN_SUARA_PARTAI;partai_id;PARTAI POLITIK;Urutan1;id;nama;nomor_urut;jenis_kelamin;tempat_tinggal;Suara;% SUARA;URUTAN SUARA;KURSI KE 1;KURSI KE 2;KURSI KE 3;KURSI KE 4;KURSI KE 5;URUTAN KURSI;TOTAL;JUMLAH KURSI;;PROVINSI;DAPIL DPRRI;;;;;;
11;ACEH;5001;1101;ACEH I;4;5;PARTAI NASDEM;2;103485;T. ISKANDAR DAOD S.E. M.Si.;5;L;ACEH BARAT;5077;0,031957549;4;;;;;;0;0;0;;JAWA TENGAH;JAWA TENGAH I;8;1;JAWA TENGAH;JAWA TENGAH I;8;0
11;ACEH;5001;1101;ACEH I;4;5;PARTAI NASDEM;2;103487;SUPRIJAL YUSUF S.H.;7;L;KOTA BANDA ACEH;4041;0,025436371;5;;;;;;0;0;0;;JAWA TENGAH;JAWA TENGAH II;7;1;JAWA TENGAH;JAWA TENGAH II;7;0
11;ACEH;5001;1101;ACEH I;4;5;PARTAI NASDEM;2;103483;Dra. Hj. MEDIATI HAFNI HANUM S.H. M.Kn. CPM.;3;P;KOTA BANDA ACEH;2103;0,013237488;6;;;;;;0;0;0;;JAWA TENGAH;JAWA TENGAH III;9;1;JAWA TENGAH;JAWA TENGAH III;9;0
11;ACEH;5001;1101;ACEH I;4;5;PARTAI NASDEM;2;103486;CUT SRI MAINITA;6;P;KOTA BANDA ACEH;1613;0,010153147;7;;;;;;0;0;0;;JAWA TENGAH;JAWA TENGAH IV;7;1;JAWA TENGAH;JAWA TENGAH IV;7;0
11;ACEH;5001;1101;ACEH I;4;5;PARTAI NASDEM;3;333333;TOTAL SUARA PARTAI;;;;158867;0,096340893;;;;;;;;;1;;JAWA TENGAH;JAWA TENGAH V;8;1;JAWA TENGAH;JAWA TENGAH V;8;1
11;ACEH;5001;1101;ACEH I;5;17;PARTAI PERSATUAN PEMBANGUNAN;1;999999;SUARA PARTAI;;;;7185;0,052127544;;;;;;;0;0;0;;JAWA TENGAH;JAWA TENGAH VI;8;1;JAWA TENGAH;JAWA TENGAH VI;8;0
11;ACEH;5001;1101;ACEH I;5;17;PARTAI PERSATUAN PEMBANGUNAN;2;113562;ILLIZA SA'ADUDDIN DJAMAL S.E.;2;P;KOTA BANDA ACEH;111389;0,808132913;1;;;;;;0;0;0;;JAWA TENGAH;JAWA TENGAH VII;7;1;JAWA TENGAH;JAWA TENGAH VII;7;1
11;ACEH;5001;1101;ACEH I;5;17;PARTAI PERSATUAN PEMBANGUNAN;2;113561;AMRI M. ALI;1;L;KOTA BANDA ACEH;11888;0,08624805;2;;;;;;0;0;0;;JAWA TENGAH;JAWA TENGAH VIII;8;1;JAWA TENGAH;JAWA TENGAH VIII;8;0
11;ACEH;5001;1101;ACEH I;5;17;PARTAI PERSATUAN PEMBANGUNAN;2;113566;SAID SAIFUL AL MAHDALI;6;L;ACEH SELATAN;2278;0,016527007;3;;;;;;0;0;0;;JAWA TENGAH;JAWA TENGAH IX;8;1;JAWA TENGAH;JAWA TENGAH IX;8;0
11;ACEH;5001;1101;ACEH I;5;17;PARTAI PERSATUAN PEMBANGUNAN;2;113564;H. ANSARI IDRUS SAMBO S.H.;4;L;KOTA SUBULUSSALAM;2182;0,015830522;4;;;;;;0;0;0;;JAWA TENGAH;JAWA TENGAH X;7;1;JAWA TENGAH;JAWA TENGAH X;7;0
